"doc_id","Tweet","sentiment"
"xdoc1","I have to say, Apple has by far the best customer care service I have ever received! @Apple @AppStore",1
"xdoc2","iOS 7 is so fricking smooth & beautiful!! #ThanxApple @Apple",1
"xdoc3","LOVE U @APPLE",1
"xdoc4","Thank you @apple, loving my new iPhone 5S!!!!!  #apple #iphone5S pic.twitter.com/XmHJCU4pcb",1
"xdoc5",".@apple has the best customer service. In and out with a new phone in under 10min!",1
"xdoc6","@apple ear pods are AMAZING! Best sound from in-ear headphones I've ever had!",1
"xdoc7","Omg the iPhone 5S is so cool it can read your finger print to unlock your iPhone 5S and to make purchases without a passcode #Apple @Apple",1
"xdoc8","the iPhone 5c is so beautiful <3 @Apple",1
"xdoc9","#AttributeOwnership is exactly why @apple will always be #one! #apple #marketing #marketer #business #innovation #fb",1
"xdoc10","Just checked out the specs on the new iOS 7...wow is all I have to say! I can't wait to get the new update ?? Bravo @Apple",1
"xdoc11","I love the new iOS so much!!!!! Thnx @apple @phillydvibing",1
"xdoc12","Can't wait to get my #Iphone5S!!! @apple",0
"xdoc13","@V2vista Fingerprint scanner: The killer feature of iPhone 5S. This is so bloody brilliant. @apple @timesnow http://toi.in/W0o-3Z",-1
"xdoc14","Interesting  how so  many people seem to be almost willing the demise of @Apple. What's going on? Still by far my favorite #brand. Fantastic",1
"xdoc15","I LOVE @BNBuzz @NOOKstudy @nookBN and @apple made my life so much easier this morning !",1
"xdoc16","Just watched the keynote of @apple latest iPhones. I just love the #iPhone5S and #iphone5c ??? I guess, i have a christmas gift already????",1
"xdoc17","My iPhone wasn't calling correctly so I went to an @apple store (first time) told them and they gave me a brand new phone. #wow",1
"xdoc18","Great job @apple on providing best users experience #thinkauto",1
"xdoc19","Swapped my #galaxys2 for an #iPhone4S. After one day I'd say I'm an @apple convert!",0
"xdoc20","Can't wait for my #orange phone upgrade in November :-) #apple iPhone 5s here I come ;-) @OrangeHelpers @apple",0
"xdoc21","#colored #iphone! The new 5C iphone comes in colors. I love this!! Can't wait till i can get one! #apple @apple #iphone5c",1
"xdoc22","Whether you're an @apple fan or not, this iPhone 5C video is worth watching, for lots of reasons http://bit.ly/18YbjLQ  #lovegreatdesign",1
"xdoc23","@apple Impressive features on the Iphone 5s - fingerprint recognition, now thats impressive!!! :)",1
"xdoc24","@KuqoGroup @jimmykimmel @BlackBerry @Apple that is unbelievably awesome!!!!! #clickitandlickit",0
"xdoc25","EarPods are amazing, thanks @Apple",1
"xdoc26","In luv with the iPhone 5s luv the champagne colour and the fingerprint reader @apple",0
"xdoc27","Used @Apple TV and @explainevrythng to demonstrate student understanding of factors!  Awesome!",1
"xdoc28","@brody_knibbs haha mint arent they! top company @apple",1
"xdoc29","I'm back yaw, Thanks to @Apple !!!!!",0
"xdoc30","Found a new way to work today courtesy of my iPhone. Way to go, @Apple maps! Is that the first time anyone's said that?",1
"xdoc31","Dear @Apple, love the new default alarm ringtone. #goodmorning",0
"xdoc32","@apple I never noticed how good the iPhone 5 camera was #pug pic.twitter.com/0Z6ZD8FyMK",1
"xdoc33","Just found out that @apple added the #watchESPN app to AppleTV. I may never leave the house again! #SEC",0
"xdoc34","@Apple products are the best. pic.twitter.com/X5Zy21XFI3",1
"xdoc35","@apple drawing on a mac is soooo cool! pic.twitter.com/w9ckPCEy0r",1
"xdoc36","I was thinking about getting an android phone. But once I saw the #iphone5s apple had pulled me back in! @iphone5s @apple",0
"xdoc37","@jasonreiner after extensive research this new & innovative product was created by @apple #trendsetters",1
"xdoc38","I just dropped my phone down two flights of wooden stairs, no damage. Thanks @apple !",-1
"xdoc39","thanks for your help @apple",0
"xdoc40","@TraceyLiddle @Apple So ... I went to the Apple store...an hour away, and they were brilliant! Thanks! New, functioning, Ipad!  D!",1
"xdoc41","I love how @apple makes it easy to transfer between Macs while I continue to work! pic.twitter.com/lga2KaXa4b",1
"xdoc42","The only time @nokia_uk & @apple should be mentioned in the same sentence on my TL is when Nokia is thanking apple>>",0
"xdoc43","Hopefully I will get the new @Apple iPhone 5C for Christmas #iPhone5C",0
"xdoc44","@mfayax @Apple Thank you for the Apple.",1
"xdoc45","The most stunning pictures/videos from the world of @apple on our #instagram profile http://instagram.com/appsolution  pic.twitter.com/QqDZQe8s4F",1
"xdoc46","Suddenly my faith in @apple has been restored. Can't wait for the iPhone 5c now! http://ow.ly/22FbS4",1
"xdoc47","Totally missed that @Apple are giving away iPhoto, iMovie +iWork free of charge to all new iPad owners. Awesome move!",1
"xdoc48","The new @apple 's #iPhone5S seems pretty cool #FingerprintsRecognitom  !!!! #iPhone #Apple",1
"xdoc49","Wow @Apple huge thanks for the 24 hour review cycle! #Concepts 2.0 live with Stacks, Snap-To, improved Shapes, +more! pic.twitter.com/4vkIVK0S0Y",1
"xdoc50","wow, just by the amount of MacBooks in this starbucks i would say @apple is doing very well",1
"xdoc51","@iBrooklynB @Apple 5s gold!!",1
"xdoc52","@Windows @apple ipad ftw",1
"xdoc53","When you open Passbook, the screen gets brighter - automatically. It makes scanning the code flawless. That's why I'll stick to @Apple.",1
"xdoc54","@Apple #iOS7..Everybody get ready to experience a operating system that kills any jail break. Absolutely Incredible! @appletweets @applenws",0
"xdoc55","@apple has done it again...the #5s is gonna be freaking sick",-1
"xdoc56","@Lafond66 @mallow610 @Apple recent apple convert who may my continue to be so by my next upgrade...brand is nothing. Usability is key",0
"xdoc57","reason #2001 why when @apple comes out with the new macbook pro I'm getting a that instead of pc.. #hatewindows #upgrade #stupidmicrosoft",0
"xdoc58","iOS 7 finally introduces ringtones and alarms that don't suck. Was that so hard, @apple? Thank you :)",-1
"xdoc59",".@apple is straight legit! Sent my phone in Wednesday to get repaired. Got a new replacement phone back Friday Morning. I'm back!",0
"xdoc60","My phone is now complete with #iRadio @apple Thank You pic.twitter.com/gQg5XusYF7",1
"xdoc61","All hyperbole aside, this article as well as @apple are simply amazing aren't they? via @FastCoDesign http://ow.ly/ovSzN",1
"xdoc62","Okay phone companies. Stop palling around. @apple can at least let me creep. Why can't anyone else? Get it together!",-1
"xdoc63","RT @Jill_Martin77: ""Music to my ears @Apple #iPhone 5c is 'beautifully, unapologetically plastic'"" See more here: http://bit.ly/17pDIv1",1
"xdoc64","@iBrooklynB @Apple I loved iphonec better. Cuz name is awesome haha x",1
"xdoc65","I #Fell Like #Working For @Apple When I'm Older, I Love Technology A lot, So I Wanna Make My Own Products or Help Design Them or Make Them.",1
"xdoc66","Drumroll please! Joining @Apple & @Samsung w big #news & new content this wk is: US! The LRWBlog Redesign!http://ow.ly/oNaZD  #happydance",0
"xdoc67","Would love to #blog about the the new #iPhone5s if @Apple wants to send me one!!",1
"xdoc68","After 7 years I finally had to get a new MacBook Pro battery!  Go @apple! pic.twitter.com/XwqJEdhsvT",0
"xdoc69","Which iPhone would you guys choose? iPhone 5s in white/silver or iPhone 5c in Green? :) @apple",0
"xdoc70","Does @Apple have a registry for gifts? Because I'm thinking about fake getting #married or #birthday registering for some things.",-1
"xdoc71","Thanks @apple for the #itunesFestival  http://twitpic.com/dd6xjw",0
"xdoc72","our good help ! thanks @apple pic.twitter.com/lbU9dIufRF",1
"xdoc73","I know this is going sound simple but with #ios7 without entering the password you have a flashlight #genius #simple @apple #wow",1
"xdoc74","@Apple leaps ahead again with Mobile Identity Management! Are you still stuck on MDM? anyone? MIM is the future!",-1
"xdoc75","@Microsoft and @Windows I am so done with you. Every laptop!!! #6monthlifespan ... @Apple come at me!",0
"xdoc76","@Apple: You will be in my hands in just 8 days.  #iPhone5S #iPhone #IOS #Apple   #September20th pic.twitter.com/xWR5hVnjYC",0
"xdoc77","@tvmattscott I am a big believer in the @apple store",0
"xdoc78","I'm so glad that @apple is skipping the megapixel war for better light sensitivity. Now it'll outdo some entry level SLRs!",1
"xdoc79","@FireandIce5935 @johan_barnard @Android @Apple ha! You can't tempt me tho! The apple force is too strong ;)",1
"xdoc80","RT @Apple says the CoreMotion system on the iPhone 5S will empower a new generation of health and fitness apps",1
"xdoc81","1 actually good thing from the @Apple announcement is the free apps on new iPhones (Pages, Numbers, Keynote, iPhoto, iMovie) via...",1
"xdoc82","Good news: @apple replaced my phone! Bad news: I lost my @bubblemania spot...went from 180 down to 1 :( @lxforever @laurenjessa",-1
"xdoc83","1 actually good thing from the @Apple announcement is the free apps on new iPhones (Pages, Numbers, Keynote, iPhoto, iMovie)",1
"xdoc84",".@Sephora = @Apple of #beauty industry.Incredible brand, online &in-store experience+addit'n of FREE classes! #retail pic.twitter.com/JaGQQKJmr3",1
"xdoc85","Stick to @Apple..reason, None of the smart phone manufacturers are rolling out their new software upgrade to older generations.",1
"xdoc86","U say dat iphone 5s dint bring anythng new??? We'll see wen it wil sell like hot cakes #iphone @apple",1
"xdoc87","Inviting all Musicians to check out this Innovative Music App @ScaleBoxApp @Apple @iTunesMusic #Apple #iPhone #iTunes http://forbit.ly/scaleboxapp",1
"xdoc88","Loving the vintage @apple pen in home office today as I wait for #iPhone5S! pic.twitter.com/u1ifCDdHEI",1
"xdoc89","Didn't buy something this time @applestoreamsterdam, yet got great service and a new #appletv on the spot tks @Apple love #geniusbar",1
"xdoc90","I can see a new and improved bPhone from @Beyonce and @Apple",1
"xdoc91","Just Got A Brand New iPhone 5 @apple :D pic.twitter.com/SJ86URqVm8",0
"xdoc92","Whelp...I'm due for a phone upgrade...the @apple 5S is my choice...not sure about color though...gold? ehhh....",0
"xdoc93","Excited about @Apple introducing #TouchID and biometric security. Hoping an API will soon be released for devs to take advantage.",1
"xdoc94","@apple repaired my dead SSD and upgraded me to Mountain Lion. Thank you. That saved us some time today.",1
"xdoc95","FOLLOW @APPLE NOW",0
"xdoc96","Currently waiting for @Apple to review the app so hopefully it will be out ASAP. Thanks for the support. #excited #courtsideassistappforiOS",1
"xdoc97","@simonmoeller That is kick-butt! Next level: Subway Surfers coming pre-installed on your iPhone (@Apple not a bad idea actually)",-1
"xdoc98","#Iphone 5s #builds on that #achievement with #Touch ID, a #?ngerprint identity #sensor! http://ow.ly/oO0u0   @Apple",1
"xdoc99","@filsfan @Apple @TheMIXXRadio @The_Hott_Spot @TheMixxHangout Rockstar! Love you!",1
"xdoc100","@astrologyzone My commitment got pushed back a week so I'll get to see you next week @apple looking forward to it!",1
"xdoc101","Love the @apple and @burberry marketing partnership; Burberry shoots runway show teaser w/ iPhone 5S >> http://on.mash.to/1bbFSCA  via @mashable",1
"xdoc102","So glad @apple now offers the iPhone in multiple colors because god forbid they actually spend resources improving the network capability.",1
"xdoc103","@lxforever @laurenjessa the sleep button slowly died. Lovely @apple service, happy customer...not sure on @bubblemania data ret. policy tho",0
"xdoc104","RT @TheDiMassa A3) yes. @Samsung and @Apple are volleying w quicker & quicker devices. Helping to raise all of mobile's speed/UX #mobilebiz",1
"xdoc105","@Apple iPhone in Gold :o",1
"xdoc106","Excellent Musician App @ScaleBoxApp @Apple @iTunesMusic #Apple #iPhone #Piano #ABRSM #Music #OnlyClassical #Violin  http://forbit.ly/scaleboxapp",1
"xdoc107","Guess who has Champagne color as well #iphone5s #iphone5c #tools #homeimprovement #homeowners #home @Apple undefined",0
"xdoc108","Don't think #apple is innovating? Think @apple is behind? You couldn't be more wrong pic.twitter.com/s3RzJZyssJ",-1
"xdoc109","Update: New article - I talk about @Apple becoming a dominating force with the new A7 chip and iOS 7 ~ http://smgtechmedia.com/Pages/apple.htm",0
"xdoc110","@Stratix is very excited to be hosting @Apple's Oct App Development briefing. Learn more navneet.saini@stratixcorp.com",1
"xdoc111","I want to have this right now! Best mobile concept idea ever.. Check it out! #phoneblocks.com #mobilerevolution #loveit @apple @samsung",1
"xdoc112","@apple may have just recaptured this fanboy's heart. Ha. With a little flash! #greeniphone #yesplease",0
"xdoc113","Love working @apple watching people with the tech problems. #entertainment",0
"xdoc114","#Tech goes glam as @Apple and @Samsung partner with high fashion to promote their devices. http://bit.ly/160eL6m  #smartwatch #luxury",1
"xdoc115","dear @apple the very excellent #2000ad have submitted an update. please approve so I can read me some #slaine and #dredd",1
"xdoc116","darn you @apple for introducing a new #iphone anodized finish color. that i didn't know about 2 secs ago & now #want.",0
"xdoc117","@airwaysmagazine @Apple @BoeingAirplanes Fascinating!",1
"xdoc118","@apple please released ios7 tonight i am in desperate need",-1
"xdoc119","The gents at the @Apple Store are basically the hottest nerds going.",1
"xdoc120","@iBrooklynB @Apple I would get 5c green I think it would be better xx",1
"xdoc121","@microsoft is just Jealous because @apple is basically putting them out of business. I give Microsoft 5 years at most!",-1
"xdoc122","Is @Apple store to preorder the new iphone. Then when it comes in I sell for 3x more. Thanks #Apple",0
"xdoc123","GIVE ME THIS .@apple pic.twitter.com/HlVXNtISUG",0
"xdoc124","Last week with Samsung next weekend it's all about the iPhone #iphone5 @apple",0
"xdoc125","touch screen macbook waiting on it. @apple make it happen",0
"xdoc126","Look at the new features of the  #iphone #iOs 7  #iphone5 @mashable[VIDEO] http://buff.ly/17sWtOc  @apple",0
"xdoc127","I want a black + gold iPhone. @apple make it happen",1
"xdoc128","#Android v. #iPhone: @Google has the #mobile lead, @Apple still reigns in #commerce. http://ow.ly/oQCGb  #tech #business",1
"xdoc129","nowadays it is embarassing having a blackberry! stick with @apple iPhones",0
