"Facebook Social Network Database (n = 715 observations, m = 21 variables)"																					
Friend 	Age	Photos	# of Tags	Albums	Gender 	Emp	Profile	Cover	Orientation	Relationship	Posts	Replies	MidWest	Seast	West	Children	Likes	Edu	Events	USA	Friends
1	57	7	27	5	1	1	1	0	1	1	1	0	0	0	1	3	21	0	0	1	68
2	42	531	241	19	0	0	0	0	1	1	5	1	0	0	1	3	9	0	1	1	234
3	42	1396	423	40	0	1	1	0	1	1	186	31	1	0	0	2	43	1	1	1	727
4	55	394	139	48	0	1	1	1	1	1	6	4	1	0	0	2	187	0	4	1	437
5	30	916	231	78	1	1	1	1	1	1	412	752	1	0	0	1	34	0	2	1	372
6	25	241	345	6	1	1	1	1	1	0	543	654	1	0	0	0	48	0	5	1	552
7	28	138	206	15	1	1	0	1	1	0	254	163	1	0	0	0	151	0	1	1	248
8	32	167	581	10	1	1	1	0	1	0	236	195	0	0	0	0	64	0	3	1	875
9	29	922	1702	23	0	1	1	1	1	1	8	9	1	0	0	1	9	0	2	1	636
10	25	231	209	8	0	1	1	1	1	0	11	4	0	0	1	1	29	0	27	1	440
11	20	365	342	30	1	0	1	1	1	1	519	448	1	0	0	0	305	0	3	1	319
12	25	111	8	2	0	1	1	1	1	0	21	27	0	0	0	0	21	0	3	0	698
13	25	499	4	0	0	1	1	1	1	1	16	19	0	0	1	0	49	0	11	1	"1,689"
14	24	402	504	13	1	1	1	0	1	1	421	321	1	0	0	0	113	0	5	1	519
15	21	992	990	4	1	1	1	1	1	0	19	1	1	0	0	0	15	0	7	1	789
16	23	710	745	80	1	1	1	0	1	0	678	564	1	0	0	0	91	0	7	1	564
17	23	385	309	32	0	0	1	0	1	1	654	546	1	0	0	0	146	0	5	1	741
18	30	538	453	7	0	1	1	1	1	1	356	267	1	0	0	0	46	0	3	1	446
19	23	635	399	8	0	0	1	0	1	1	746	553	1	0	0	0	99	0	4	1	919
20	24	241	78	4	1	1	1	0	1	1	794	679	1	0	0	0	112	0	2	1	468
21	24	795	364	7	0	1	1	1	1	1	365	252	1	0	0	0	39	0	1	1	647
22	21	450	0	11	0	1	1	0	1	0	15	3	1	0	0	0	385	0	2	1	612
23	27	41	12	1	1	1	1	0	1	1	195	169	1	0	0	0	35	0	4	1	288
24	32	185	105	16	1	1	1	1	1	0	8	3	0	1	0	0	27	0	0	1	158
25	30	495	813	21	0	1	1	1	1	1	12	13	1	0	0	0	138	0	2	1	637
26	29	156	268	7	1	1	1	0	1	1	4	2	1	0	0	0	15	0	1	1	670
27	18	2104	1422	74	0	0	1	1	1	0	16	10	1	0	0	0	75	0	7	1	1009
28	23	585	289	45	0	1	1	0	1	1	7	2	1	0	0	0	103	0	3	1	336
29	29	672	124	18	1	1	1	0	1	1	5	2	1	0	0	0	28	0	1	1	254
30	24	638	646	20	1	1	1	1	1	0	453	255	1	0	0	0	266	0	3	1	781
31	26	393	564	40	0	1	1	0	1	0	346	322	1	0	0	0	292	0	4	1	477
32	27	137	197	6	1	1	0	0	1	1	5	4	1	0	0	0	4	0	2	1	134
33	21	508	44	31	0	1	1	1	1	1	10	3	1	0	0	1	17	0	18	1	304
34	28	156	88	7	1	1	1	1	1	1	11	2	1	0	0	0	38	0	0	1	44
35	31	362	108	11	1	1	1	0	1	1	10	5	1	0	0	0	50	1	5	1	562
36	23	844	611	33	0	1	1	1	1	1	8	6	1	0	0	0	47	0	24	1	752
37	24	4688	1946	78	0	1	1	1	1	1	11	2	1	0	0	0	97	0	9	1	1354
38	19	536	519	16	1	1	1	1	1	1	44	75	0	0	1	0	112	0	4	1	550
39	32	1603	1481	37	0	1	1	0	1	0	23	60	1	0	0	0	141	0	4	1	1822
40	27	914	179	30	0	1	0	1	1	1	11	6	0	1	0	0	191	0	1	1	650
41	23	16	148	7	1	1	1	0	1	0	13	8	1	0	0	0	10	0	11	1	246
42	25	1521	310	29	0	0	0	0	1	1	62	15	0	0	1	1	105	1	1	1	176
43	20	178	310	16	0	1	0	0	1	1	11	6	1	0	0	0	6	0	2	1	154
44	30	1226	250	44	1	1	0	0	1	1	15	9	1	0	0	0	230	1	2	1	658
45	22	32	5	1	1	1	1	1	1	0	8	13	0	0	0	0	19	0	2	0	501
46	22	"1,486"	5	0	0	1	1	1	1	1	15	29	1	0	0	0	123	0	15	1	"1,544"
47	26	1	2	0	1	1	1	1	1	0	7	6	1	0	0	0	72	0	2	1	590
48	24	65	3	1	0	1	1	1	1	1	12	21	0	1	0	0	302	0	23	1	822
49	20	317	7	1	1	1	1	1	1	0	14	15	1	0	0	0	64	0	15	1	690
50	36	41	10	1	1	1	1	1	1	1	12	5	1	0	0	1	6	1	3	1	"1,276"
51	26	312	6	0	0	1	1	1	1	0	17	15	0	0	1	1	151	1	20	1	799
52	21	37	4	1	0	0	1	1	1	0	10	18	0	1	0	0	19	1	2	1	589
53	26	23	1	0	1	1	1	1	1	1	7	9	1	0	0	0	31	0	1	1	"1,289"
54	25	104	3	1	0	1	1	1	1	1	9	18	1	0	0	1	95	0	2	1	"1,065"
55	23	76	4	1	0	1	1	1	1	1	20	27	0	1	0	0	25	1	8	1	"2,033"
56	25	318	324	8	0	1	1	0	1	1	446	344	1	0	0	0	1	0	3	1	848
57	34	52	22	2	0	1	1	0	1	1	212	115	1	0	0	1	15	0	2	1	121
58	20	171	7	1	0	0	1	1	1	0	6	8	0	0	0	0	85	1	0	0	"2,365"
59	24	41	6	0	1	0	1	1	1	0	13	15	1	0	0	0	25	0	40	1	"1,589"
60	24	26	5	1	0	1	1	1	1	0	12	14	1	0	0	0	33	0	2	1	"2,087"
61	24	1	0	0	0	0	0	0	1	0	5	3	1	0	0	0	22	0	0	1	"1,867"
62	22	452	5	1	0	1	1	1	1	0	15	5	1	0	0	0	37	0	23	1	465
63	27	161	9	1	0	1	1	1	1	1	25	33	0	0	1	1	52	0	1	1	285
64	23	5399	1935	80	0	1	0	1	1	0	97	21	1	0	0	0	225	0	8	1	1026
65	22	2613	1152	51	0	0	1	0	1	0	89	14	1	0	0	0	150	0	11	1	1405
66	23	3372	260	106	0	0	1	0	1	0	82	11	1	0	0	0	121	1	6	1	1109
67	27	518	398	25	1	1	1	1	1	1	80	12	1	0	0	0	56	0	10	1	590
68	24	445	979	20	0	0	1	0	0	1	37	15	1	0	0	0	285	1	0	1	423
69	21	43	372	7	1	0	0	0	1	0	15	9	1	0	0	0	117	0	7	1	769
70	23	2075	1163	26	0	1	1	0	1	0	66	59	1	0	0	0	86	0	1	1	867
71	22	5585	2658	71	0	1	1	0	1	1	25	6	1	0	0	0	160	0	6	1	980
72	25	1849	773	56	0	1	1	0	1	1	10	1	1	0	0	0	181	0	1	1	954
73	26	454	401	19	0	1	1	0	0	0	28	10	1	0	0	0	49	0	3	1	782
74	25	353	275	12	1	1	1	0	1	1	115	24	1	0	0	0	8	1	3	1	494
75	31	459	68	18	0	0	1	0	1	1	20	15	1	0	0	3	208	1	1	1	119
76	23	433	473	27	0	1	1	0	1	1	29	10	1	0	0	0	259	0	4	1	869
77	24	60	292	5	1	1	1	0	0	0	3	0	1	0	0	0	27	0	4	1	573
78	27	660	958	31	1	1	1	0	1	0	80	37	1	0	0	1	314	1	1	1	608
79	24	3007	986	57	0	0	1	0	1	0	25	18	1	0	0	0	135	0	6	1	1104
