date,dayOfWeek,hour,users,sessions,bounces
2020-09-05,6,00,0,0,0
2020-09-05,6,01,0,0,0
2020-09-05,6,02,0,0,0
2020-09-05,6,03,0,0,0
2020-09-05,6,04,0,0,0
2020-09-05,6,05,0,0,0
2020-09-05,6,06,0,0,0
2020-09-05,6,07,0,0,0
2020-09-05,6,08,0,0,0
2020-09-05,6,09,0,0,0
2020-09-05,6,10,0,0,0
2020-09-05,6,11,0,0,0
2020-09-05,6,12,0,0,0
2020-09-05,6,13,0,0,0
2020-09-05,6,14,0,0,0
2020-09-05,6,15,0,0,0
2020-09-05,6,16,0,0,0
2020-09-05,6,17,0,0,0
2020-09-05,6,18,0,0,0
2020-09-05,6,19,0,0,0
2020-09-05,6,20,0,0,0
2020-09-05,6,21,0,0,0
2020-09-05,6,22,0,0,0
2020-09-05,6,23,0,0,0
2020-09-06,0,00,0,0,0
2020-09-06,0,01,0,0,0
2020-09-06,0,02,0,0,0
2020-09-06,0,03,0,0,0
2020-09-06,0,04,0,0,0
2020-09-06,0,05,0,0,0
2020-09-06,0,06,0,0,0
2020-09-06,0,07,0,0,0
2020-09-06,0,08,0,0,0
2020-09-06,0,09,0,0,0
2020-09-06,0,10,0,0,0
2020-09-06,0,11,0,0,0
2020-09-06,0,12,0,0,0
2020-09-06,0,13,0,0,0
2020-09-06,0,14,0,0,0
2020-09-06,0,15,0,0,0
2020-09-06,0,16,0,0,0
2020-09-06,0,17,0,0,0
2020-09-06,0,18,0,0,0
2020-09-06,0,19,0,0,0
2020-09-06,0,20,0,0,0
2020-09-06,0,21,0,0,0
2020-09-06,0,22,0,0,0
2020-09-06,0,23,0,0,0
2020-09-07,1,00,0,0,0
2020-09-07,1,01,0,0,0
2020-09-07,1,02,0,0,0
2020-09-07,1,03,0,0,0
2020-09-07,1,04,0,0,0
2020-09-07,1,05,0,0,0
2020-09-07,1,06,0,0,0
2020-09-07,1,07,0,0,0
2020-09-07,1,08,0,0,0
2020-09-07,1,09,0,0,0
2020-09-07,1,10,0,0,0
2020-09-07,1,11,0,0,0
2020-09-07,1,12,0,0,0
2020-09-07,1,13,0,0,0
2020-09-07,1,14,0,0,0
2020-09-07,1,15,0,0,0
2020-09-07,1,16,0,0,0
2020-09-07,1,17,0,0,0
2020-09-07,1,18,0,0,0
2020-09-07,1,19,0,0,0
2020-09-07,1,20,0,0,0
2020-09-07,1,21,0,0,0
2020-09-07,1,22,0,0,0
2020-09-07,1,23,0,0,0
2020-09-08,2,00,0,0,0
2020-09-08,2,01,0,0,0
2020-09-08,2,02,0,0,0
2020-09-08,2,03,0,0,0
2020-09-08,2,04,0,0,0
2020-09-08,2,05,0,0,0
2020-09-08,2,06,0,0,0
2020-09-08,2,07,0,0,0
2020-09-08,2,08,0,0,0
2020-09-08,2,09,0,0,0
2020-09-08,2,10,0,0,0
2020-09-08,2,11,0,0,0
2020-09-08,2,12,0,0,0
2020-09-08,2,13,0,0,0
2020-09-08,2,14,0,0,0
