"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x726831257951281157","x1334506710543855617",2020-12-03 14:36:08,"BIM4GIB","@PaulCADMunford , inspired by your #AU2020 lab, I'm playing around with Revit to Inventor flow and I have a question: can I automate replacing of Revit elements/geometry for Inventor parts pulled from Vault?
I am trying with Shrinkwrap Substitute but... https://t.co/phzV1xEIzl","Twitter Web App",253,,"x191427473","PaulCADMunford",FALSE,FALSE,0,0,,,"AU2020",,,,,"http://pbs.twimg.com/tweet_video_thumb/EoUexbAXcAYg2p9.jpg","https://t.co/phzV1xEIzl","https://twitter.com/BIM4GIB/status/1334506710543855617/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/EoUexbAXcAYg2p9.jpg","https://t.co/phzV1xEIzl","https://twitter.com/BIM4GIB/status/1334506710543855617/photo/1",,"x191427473","PaulCADMunford","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/BIM4GIB/status/1334506710543855617","R̰͚͕͢ë́̄ne̅́̒̀","United Kingdom","Maker, Breaker, Fixer & Tinkerer of Things ™ | Autodesk Expert Elite | Reviteer | Recovering BIM Manager ®",,FALSE,767,495,17,3043,2811,2016-05-01 17:50:50,FALSE,,,,"https://pbs.twimg.com/profile_banners/726831257951281157/1476551500","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1032396928665837568/XIOFRQdj_normal.jpg"
"x875972731","x1334501694105931776",2020-12-03 14:16:12,"PeteStrycharske","In my 4th AU2020 summary video, I'm going to highlight some sketch visibility tips I've learned from Mike Thomas' excellent class on Inventor Sketching!

#teamd3 #d3inventortips #au2020 

Link to Mike's AU Class: https://t.co/QRMnMp54KI

https://t.co/mvvTa607Lx","Twitter Web App",261,,,,FALSE,FALSE,0,0,,,"teamd3 d3inventortips au2020",,"autodesk.com/autodesk-unive… youtu.be/RPrgJUr57Lo","https://t.co/QRMnMp54KI https://t.co/mvvTa607Lx","https://www.autodesk.com/autodesk-university/class/Inventor-Sketching-Beyond-Basics-2020 https://youtu.be/RPrgJUr57Lo",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/PeteStrycharske/status/1334501694105931776","Pete Strycharske","","",,FALSE,55,69,3,681,89,2012-10-12 16:35:36,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/913856488971612160/slhXjmTI_normal.jpg"
"x875972731","x1331261764332347394",2020-11-24 15:41:52,"PeteStrycharske","Here's my 2nd AU 2020 video highlighting some tips while using Inventor iLogic forms, which will work great for any user. Shout out to Demir Ali, who put together a great AU class!

Demir's Class: https://t.co/W6rvzH2n1t

#TeamD3 #D3InventorTips #AU2020 

https://t.co/llJ5eKtGAs","Twitter Web App",279,,,,FALSE,FALSE,2,1,,,"TeamD3 D3InventorTips AU2020",,"autodesk.com/autodesk-unive… youtu.be/neQcTROaNDQ","https://t.co/W6rvzH2n1t https://t.co/llJ5eKtGAs","https://www.autodesk.com/autodesk-university/class/Modular-Design-Design-Standards-and-Function-Automation-Using-Inventor-and-iLogic-2020 https://youtu.be/neQcTROaNDQ",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/PeteStrycharske/status/1331261764332347394","Pete Strycharske","","",,FALSE,55,69,3,681,89,2012-10-12 16:35:36,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/913856488971612160/slhXjmTI_normal.jpg"
"x875972731","x1331603168304766983",2020-11-25 14:18:29,"PeteStrycharske","Here's my 3rd video regarding tips I learned at AU2020. I'll be eliminating some unnecessary ""If"" statements in iLogic code, thanks to @deali12!

#teamd3 #d3inventortips #au2020 

Link to Demir's class: https://t.co/W6rvzH2n1t

https://t.co/vyZsKOQiKn","Twitter Web App",251,,,,FALSE,FALSE,2,1,,,"teamd3 d3inventortips au2020",,"autodesk.com/autodesk-unive… youtube.com/watch?v=7lhB-7…","https://t.co/W6rvzH2n1t https://t.co/vyZsKOQiKn","https://www.autodesk.com/autodesk-university/class/Modular-Design-Design-Standards-and-Function-Automation-Using-Inventor-and-iLogic-2020 https://www.youtube.com/watch?v=7lhB-7zWHD0",,,,,,,,,"x633697782","deali12","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/PeteStrycharske/status/1331603168304766983","Pete Strycharske","","",,FALSE,55,69,3,681,89,2012-10-12 16:35:36,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/913856488971612160/slhXjmTI_normal.jpg"
"x191427473","x1334497858414899203",2020-12-03 14:00:57,"PaulCADMunford","Autodesk Certification has moved online. #AU2020 attendees can take up an offer of 50% discount until 31st December 2020 (Fusion users may even get certification for FREE!) https://t.co/shF6on1Qam https://t.co/X2Rqfl0W8P","Buffer",196,,,,FALSE,FALSE,0,0,,,"AU2020",,"cadso.co/33xUFHF","https://t.co/shF6on1Qam","https://cadso.co/33xUFHF","http://pbs.twimg.com/media/EoUWutgWEAMTrdE.jpg","https://t.co/X2Rqfl0W8P","https://twitter.com/PaulCADMunford/status/1334497858414899203/photo/1","photo","http://pbs.twimg.com/media/EoUWutgWEAMTrdE.jpg http://pbs.twimg.com/media/EoUWupSW4AIro2Y.png","https://t.co/X2Rqfl0W8P https://t.co/X2Rqfl0W8P","https://twitter.com/PaulCADMunford/status/1334497858414899203/photo/1 https://twitter.com/PaulCADMunford/status/1334497858414899203/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/PaulCADMunford/status/1334497858414899203","Paul Munford","UK","Autodesk UK Technical Marketing Manager PDMC https://t.co/TzCjUvdeiP (all opinions are my own)
#ADSK #ADSKInventor @ADSK_Inventor","https://t.co/TUUrybYzNA",FALSE,5013,491,193,30599,17811,2010-09-16 12:42:34,FALSE,"https://t.co/TUUrybYzNA","https://cadsetterout.com/",,"https://pbs.twimg.com/profile_banners/191427473/1553090146","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1148205937515274240/Jgv-VZ7n_normal.png"
"x191427473","x1334452521272799233",2020-12-03 11:00:48,"PaulCADMunford","The Autodesk Excellence Awards celebrate the people, projects and technologies behind exceptional contributions to the fields of architecture, engineering and construction; product design and manufacturing; and media and entertainment. https://t.co/bDaQG9pJR1 #AU2020 https://t.co/JXIudv1nJe","Buffer",267,,,,FALSE,FALSE,0,0,,,"AU2020",,"cadso.co/3lEBXVn","https://t.co/bDaQG9pJR1","https://cadso.co/3lEBXVn","http://pbs.twimg.com/media/EoTtfyYW8AQIjpa.jpg","https://t.co/JXIudv1nJe","https://twitter.com/PaulCADMunford/status/1334452521272799233/photo/1","photo","http://pbs.twimg.com/media/EoTtfyYW8AQIjpa.jpg","https://t.co/JXIudv1nJe","https://twitter.com/PaulCADMunford/status/1334452521272799233/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/PaulCADMunford/status/1334452521272799233","Paul Munford","UK","Autodesk UK Technical Marketing Manager PDMC https://t.co/TzCjUvdeiP (all opinions are my own)
#ADSK #ADSKInventor @ADSK_Inventor","https://t.co/TUUrybYzNA",FALSE,5013,491,193,30599,17811,2010-09-16 12:42:34,FALSE,"https://t.co/TUUrybYzNA","https://cadsetterout.com/",,"https://pbs.twimg.com/profile_banners/191427473/1553090146","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1148205937515274240/Jgv-VZ7n_normal.png"
"x191427473","x1334407060071591936",2020-12-03 08:00:09,"PaulCADMunford","Autodesk University 2020 classes are now available FREE and on demand 😀

Please check out my classes:
'Reliable Techniques for complex Part &amp; Assembly design in Autodesk Inventor'
Part Design: https://t.co/uYmgNSRZHH
Assembly Design: https://t.co/e2OonxpX4O
#AU2020 https://t.co/1PK00jzydJ","Buffer",269,,,,FALSE,FALSE,1,0,,,"AU2020",,"cadso.co/2UnxXwW cadso.co/32YBhUj","https://t.co/uYmgNSRZHH https://t.co/e2OonxpX4O","https://cadso.co/2UnxXwW https://cadso.co/32YBhUj","http://pbs.twimg.com/media/EoTEJjRXIAEXsQ8.jpg","https://t.co/1PK00jzydJ","https://twitter.com/PaulCADMunford/status/1334407060071591936/photo/1","photo","http://pbs.twimg.com/media/EoTEJjRXIAEXsQ8.jpg","https://t.co/1PK00jzydJ","https://twitter.com/PaulCADMunford/status/1334407060071591936/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/PaulCADMunford/status/1334407060071591936","Paul Munford","UK","Autodesk UK Technical Marketing Manager PDMC https://t.co/TzCjUvdeiP (all opinions are my own)
#ADSK #ADSKInventor @ADSK_Inventor","https://t.co/TUUrybYzNA",FALSE,5013,491,193,30599,17811,2010-09-16 12:42:34,FALSE,"https://t.co/TUUrybYzNA","https://cadsetterout.com/",,"https://pbs.twimg.com/profile_banners/191427473/1553090146","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1148205937515274240/Jgv-VZ7n_normal.png"
"x191427473","x1334361783738527746",2020-12-03 05:00:15,"PaulCADMunford","Expo - Visit AU exhibitors and sponsors to learn about their industry products and services. Contact representatives. Attend live demos. Request information to keep pace with today’s innovations. The Expo will be available for 30 days after #AU2020 https://t.co/Es76w27D7Q https://t.co/wYLrAFp5VK","Buffer",272,,,,FALSE,FALSE,0,0,,,"AU2020",,"cadso.co/2VqBVFV","https://t.co/Es76w27D7Q","https://cadso.co/2VqBVFV","http://pbs.twimg.com/media/EoSa-JFWMAAJfbK.jpg","https://t.co/wYLrAFp5VK","https://twitter.com/PaulCADMunford/status/1334361783738527746/photo/1","photo","http://pbs.twimg.com/media/EoSa-JFWMAAJfbK.jpg http://pbs.twimg.com/media/EoSa-FaXcAEFHkn.png http://pbs.twimg.com/media/EoSa-FoXEAA_3TG.png http://pbs.twimg.com/media/EoSa-FGW8AI4Wau.png","https://t.co/wYLrAFp5VK https://t.co/wYLrAFp5VK https://t.co/wYLrAFp5VK https://t.co/wYLrAFp5VK","https://twitter.com/PaulCADMunford/status/1334361783738527746/photo/1 https://twitter.com/PaulCADMunford/status/1334361783738527746/photo/1 https://twitter.com/PaulCADMunford/status/1334361783738527746/photo/1 https://twitter.com/PaulCADMunford/status/1334361783738527746/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/PaulCADMunford/status/1334361783738527746","Paul Munford","UK","Autodesk UK Technical Marketing Manager PDMC https://t.co/TzCjUvdeiP (all opinions are my own)
#ADSK #ADSKInventor @ADSK_Inventor","https://t.co/TUUrybYzNA",FALSE,5013,491,193,30599,17811,2010-09-16 12:42:34,FALSE,"https://t.co/TUUrybYzNA","https://cadsetterout.com/",,"https://pbs.twimg.com/profile_banners/191427473/1553090146","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1148205937515274240/Jgv-VZ7n_normal.png"
"x191427473","x1334316557682569216",2020-12-03 02:00:32,"PaulCADMunford","AU 2020 Theater Talks - Explore big ideas and inspirational projects with these provocative talks from industry thought leaders at #AU2020 https://t.co/8w2PmZv5DM","Buffer",162,,,,FALSE,FALSE,1,0,,,"AU2020",,"cadso.co/3lAgPiO","https://t.co/8w2PmZv5DM","https://cadso.co/3lAgPiO",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/PaulCADMunford/status/1334316557682569216","Paul Munford","UK","Autodesk UK Technical Marketing Manager PDMC https://t.co/TzCjUvdeiP (all opinions are my own)
#ADSK #ADSKInventor @ADSK_Inventor","https://t.co/TUUrybYzNA",FALSE,5013,491,193,30599,17811,2010-09-16 12:42:34,FALSE,"https://t.co/TUUrybYzNA","https://cadsetterout.com/",,"https://pbs.twimg.com/profile_banners/191427473/1553090146","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1148205937515274240/Jgv-VZ7n_normal.png"
"x191427473","x1333456126034268166",2020-11-30 17:01:29,"PaulCADMunford","Autodesk University 2020 classes are now available FREE and on demand 😀

Please check out my classes:
'Reliable Techniques for complex Part &amp; Assembly design in Autodesk Inventor'
Part Design: https://t.co/uYmgNSRZHH
Assembly Design: https://t.co/e2OonxpX4O
#AU2020 https://t.co/ufUgWPCO5c","Buffer",269,,,,FALSE,FALSE,5,0,,,"AU2020",,"cadso.co/2UnxXwW cadso.co/32YBhUj","https://t.co/uYmgNSRZHH https://t.co/e2OonxpX4O","https://cadso.co/2UnxXwW https://cadso.co/32YBhUj","http://pbs.twimg.com/media/EoFjR6jXEAAb65x.jpg","https://t.co/ufUgWPCO5c","https://twitter.com/PaulCADMunford/status/1333456126034268166/photo/1","photo","http://pbs.twimg.com/media/EoFjR6jXEAAb65x.jpg","https://t.co/ufUgWPCO5c","https://twitter.com/PaulCADMunford/status/1333456126034268166/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/PaulCADMunford/status/1333456126034268166","Paul Munford","UK","Autodesk UK Technical Marketing Manager PDMC https://t.co/TzCjUvdeiP (all opinions are my own)
#ADSK #ADSKInventor @ADSK_Inventor","https://t.co/TUUrybYzNA",FALSE,5013,491,193,30599,17811,2010-09-16 12:42:34,FALSE,"https://t.co/TUUrybYzNA","https://cadsetterout.com/",,"https://pbs.twimg.com/profile_banners/191427473/1553090146","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1148205937515274240/Jgv-VZ7n_normal.png"
