Year,Month,Day,Daily global solar exposure (MJ/m*m),Rainfall amount (millimetres),Maximum temperature (C)
2019,1,1,31.7,0,26.2
2019,1,2,26.3,0,22.2
2019,1,3,27.6,0,29.5
2019,1,4,27.4,0,42.6
2019,1,5,12.9,0.8,21.2
2019,1,6,30.9,1.8,22.1
2019,1,7,30.2,0,23.1
2019,1,8,28.9,0,24.1
2019,1,9,28.4,0.6,20.5
2019,1,10,25.8,0,21.4
2019,1,11,31.5,0,30.4
2019,1,12,28.6,0,24.7
2019,1,13,31.3,0,30.5
2019,1,14,31.1,0,32.3
2019,1,15,22.3,0,30.4
2019,1,16,17.5,0,26.7
2019,1,17,6,0,32.5
2019,1,18,2.6,0,28.7
2019,1,19,30.2,3.2,23.5
2019,1,20,29.2,0,22.9
2019,1,21,28.2,0,25.1
2019,1,22,29.3,0,26.8
2019,1,23,27.4,0,23.9
2019,1,24,30,0,40.8
2019,1,25,25.3,0,42.8
2019,1,26,27.7,0,26.1
2019,1,27,21.1,0,27.8
2019,1,28,29.4,0,34.5
2019,1,29,27.7,0,36.8
2019,1,30,19.9,0,38.1
2019,1,31,27.8,6.2,21.5
2019,2,1,28.8,0,24.2
2019,2,2,27.5,0,34.4
2019,2,3,26.1,0,38.2
2019,2,4,9.3,0,22.7
2019,2,5,14.6,0,26.9
2019,2,6,22.8,0,34.7
2019,2,7,25.1,11.2,28.3
2019,2,8,21.1,0,23.1
2019,2,9,13.6,4.9,19.7
2019,2,10,23.5,1,23.3
2019,2,11,18.6,0,27.5
2019,2,12,12.4,0,21.5
2019,2,13,23.7,3.2,19.2
2019,2,14,24.2,0,23.2
2019,2,15,23.1,0,22.8
2019,2,16,24.2,0,23.2
2019,2,17,20,0,29
2019,2,18,16.9,0,23.6
2019,2,19,21.4,0,20.2
2019,2,20,20.8,0,23.2
2019,2,21,16.2,0,20.4
2019,2,22,23.9,0,21.2
2019,2,23,24,0,25.8
2019,2,24,24.6,0,32.9
2019,2,25,24.4,0,34.2
2019,2,26,21,0,22.3
2019,2,27,24,0,25.7
2019,2,28,23.4,0,36.8
2019,3,1,22.3,0,38.1
2019,3,2,23.4,0,36.3
2019,3,3,14.4,0,36
2019,3,4,21.8,0,24.6
2019,3,5,15.5,0,24.3
2019,3,6,19.5,2,17.2
2019,3,7,21.2,1.4,22.1
2019,3,8,10.2,0,26.8
2019,3,9,20,0,24.7
2019,3,10,10.1,0,23.7
2019,3,11,18.6,0.4,21.8
2019,3,12,10.8,0,19.2
2019,3,13,15.1,0.4,18.6
2019,3,14,20.6,0,20.8
2019,3,15,18.7,0,22.2
2019,3,16,20.1,0,25.6
2019,3,17,19.2,0,25.6
2019,3,18,18.9,0,28.2
2019,3,19,12.7,0,23.4
2019,3,20,11.1,0,23.4
2019,3,21,12.5,0,24.3
2019,3,22,15.3,0,28.6
2019,3,23,13.6,5,31.3
2019,3,24,16.9,1.2,29.3
2019,3,25,13.6,0,19
2019,3,26,15.9,0,20.3
2019,3,27,17.8,0,21.7
2019,3,28,17.8,0,27.9
2019,3,29,4.9,0,28.5
2019,3,30,11.4,2.2,15.6
2019,3,31,8,2,18.5
2019,4,1,6.6,0.2,17.1
2019,4,2,16.6,0,25.9
2019,4,3,10.9,0,24.7
2019,4,4,13.9,0,21.9
2019,4,5,15.3,0,28.5
2019,4,6,12.4,0,20.1
2019,4,7,15.9,0,26.5
2019,4,8,9,0,23.1
2019,4,9,13.9,2.2,16.3
2019,4,10,4.8,1.8,15.8
2019,4,11,14.4,0,17.3
2019,4,12,15.3,0,24.9
2019,4,13,10,0,20.7
2019,4,14,14.4,0,22.5
2019,4,15,10.9,0,27.4
2019,4,16,14.4,0,30.3
2019,4,17,12.8,0,30
2019,4,18,12.8,0.4,17.7
2019,4,19,14,0,22.1
2019,4,20,13.9,0,30.2
2019,4,21,7.5,0,27
2019,4,22,6,1,17.6
2019,4,23,8,0,18.5
2019,4,24,8.2,0,23.2
2019,4,25,10.6,0,21.5
2019,4,26,6.9,0,15.8
2019,4,27,8.5,4,16.2
2019,4,28,5.2,2,17.4
2019,4,29,8.4,,18.1
2019,4,30,11.7,,23.1
2019,5,1,7.8,0,22.8
2019,5,2,6.2,4.2,20.2
2019,5,3,9,0.2,20.7
2019,5,4,8.2,0.4,16.4
2019,5,5,6.5,2.2,16.3
2019,5,6,8.5,0.2,16.7
2019,5,7,11.7,0,18.7
2019,5,8,7.3,5.6,17.4
2019,5,9,5.3,0.6,16.2
2019,5,10,2.8,8.6,14.2
2019,5,11,7.7,9.8,16.4
2019,5,12,6.6,0.1,17.7
2019,5,13,8.3,0,18.1
2019,5,14,9,0,20.2
2019,5,15,8,0,15.8
2019,5,16,9.8,0,16.1
2019,5,17,10.7,0,18.6
